name,category,current_price,original_price,unit,timestamp
Uhorka šalátová,Ovocie a Zelenina,"14,99",1,1 kus,2026-05-17T22:27:24.922775
Uhorka šalátová,Ovocie a Zelenina,1,,1 kus,2026-05-17T22:27:24.927912
Čerstvé zo Slovenska,Ostatné,"5,56",250,250 g,2026-05-17T22:27:24.994385
Šunka z morčacích pŕs,Mäso,"6,50",100,100 g,2026-05-17T22:27:25.069891
Staropramen,Nápoje,"0,78",10,"0,5 l",2026-05-17T22:27:25.303633
Svetlé pivo,Nápoje,10,,,2026-05-17T22:27:25.311529
Franz JosefTuniakový šalát,Ovocie a Zelenina,"9,31",1,1 kus,2026-05-17T22:27:25.870883
K-ClassicPasírované paradajky,Ovocie a Zelenina,"0,88",500,500 g,2026-05-17T22:27:25.960223
BudišMinerálna voda,Ostatné,"0,23","1,5","1,5 l",2026-05-17T22:27:26.065162
Hrozno biele bezjadierkové,Ostatné,20,500,500 g,2026-05-17T22:27:26.434440
Bravčové stehno,Mäso,20,1,1 kg,2026-05-17T22:27:26.504387
Írske hovädzie stehno orech,Mäso,1,,1 kg,2026-05-17T22:27:26.579905
Oravská slanina,Ostatné,"9,45",200,200 g,2026-05-17T22:27:26.656277
K-ClassicTrvanlivé mlieko polotučné,Mliečne výrobky,"1,5",1,1 l,2026-05-17T22:27:26.788648
Cheddar Mild,Ostatné,4,,,2026-05-17T22:27:26.955279
Rajo Active ProteinOchutený tvaroh,Mliečne výrobky,"6,95",200,200 g,2026-05-17T22:27:27.127412
K-ClassicMexická zeleninová zmes,Ostatné,"2,12",750,750 g,2026-05-17T22:27:27.198259
Mylord PremiumAljašská treska porcie,Ostatné,"6,66",900,900 g,2026-05-17T22:27:27.284601
GamberinaMrazený krém,Ostatné,"12,63",300,300 g,2026-05-17T22:27:27.354010
SojaproduktTofu,Ostatné,"3,25",200,200 g,2026-05-17T22:27:27.425582
Pierre BaguetteBageta Debrecínska,Pečivo,"9,95",210,240 g,2026-05-17T22:27:27.485051
DIJOMaxi Tortilla,Ostatné,"4,02",570,570 g,2026-05-17T22:27:27.546968
Sweet Baby Ray´sOmáčka,Ostatné,"8,71",510,510 g,2026-05-17T22:27:27.601795
Matjesové rezyzo sleďa obyčajného,Ostatné,"5,20",100,100 g,2026-05-17T22:27:27.660447
Otma GurmánKečup,Ostatné,"3,13",860,860 g,2026-05-17T22:27:27.735095
K-ClassicHrášok,Ostatné,"2,81",800,800 g,2026-05-17T22:27:27.796903
K-ClassicTuniakové paté,Trvanlivé / Snacks,"10,42",95,95 g,2026-05-17T22:27:27.855493
K-ClassicMandle blanšírované,Ostatné,"19,90",100,100 g,2026-05-17T22:27:27.935557
HAMÉNátierka,Ostatné,"7,50",100,100 g,2026-05-17T22:27:28.005765
Bell ZvolenOlej,Trvanlivé / Snacks,20,1,1 l,2026-05-17T22:27:28.100531
Kráľovský cheesecakes višňami,Ostatné,"7,06",650,650 g,2026-05-17T22:27:28.154256
Višňová taštičkas belgickou čokoládou,Trvanlivé / Snacks,"4,67",90,90 g,2026-05-17T22:27:28.233207
BauliKváskový croissant,Ostatné,"8,30",6,50 g,2026-05-17T22:27:28.305281
Kváskový chlebík slnečnicový,Ostatné,"3,48",400,400 g,2026-05-17T22:27:28.377090
VAMEXChlieb proteínový,Pečivo,"4,87",450,450 g,2026-05-17T22:27:28.451380
Ritter SportČokoláda,Trvanlivé / Snacks,"15,90",100,100 g,2026-05-17T22:27:28.566726
PringlesSnack,Ostatné,"15,09",165,165 g,2026-05-17T22:27:28.652774
CarlaDezert,Ostatné,"24,92",120,120 g,2026-05-17T22:27:28.721903
K-ClassicOvocné tyčinky,Ostatné,"11,67",5,30 g,2026-05-17T22:27:28.785366
LIPOŽelé cukrovinka,Ostatné,"5,00",150,150 g,2026-05-17T22:27:28.847851
Zlatý BažantNealkoholický radler,Ostatné,"1,70","0,5","0,5 l",2026-05-17T22:27:28.917292
GambrinusSvetlé pivo,Nápoje,10,10,"0,5 l",2026-05-17T22:27:28.981396
VineaHroznový nápoj,Ostatné,"0,79","1,5","1,5 l",2026-05-17T22:27:29.039231
Mixni to!Nápojový koncentrát,Ostatné,"1,70","0,7","0,7 l",2026-05-17T22:27:29.097259
Gibson´sLiehovina,Ostatné,"16,13","0,7","0,7 l",2026-05-17T22:27:29.283918
Aloe veraNealkoholický nápoj,Ostatné,"1,53","1,5","1,5 l",2026-05-17T22:27:29.354857
BruncvíkSvetlé pivo,Nápoje,"0,78","0,5","0,5 l",2026-05-17T22:27:29.419623
BruncvíkSvetlý ležiak,Ostatné,"0,84","0,5","0,5 l",2026-05-17T22:27:29.480164
BruncvíkPolotmavý ležiak,Ostatné,"0,88","0,5","0,5 l",2026-05-17T22:27:29.542635
BruncvíkTmavý ležiak,Ostatné,"0,98","0,5","0,5 l",2026-05-17T22:27:29.603239
BruncvíkNealkoholické svetlé pivo,Nápoje,"0,56","0,5","0,5 l",2026-05-17T22:27:29.686487
VoscariniVíno,Nápoje,"2,52","0,75","0,75 l",2026-05-17T22:27:29.761484
VoscariniVíno,Nápoje,"2,13","1,5","1,5 l",2026-05-17T22:27:29.822894
VoscariniVínny koktail,Ostatné,"2,65","0,75","0,75 l",2026-05-17T22:27:29.885173
K-ClassicSirup,Ostatné,"4,13","0,7","0,7 l",2026-05-17T22:27:29.945933
CoolMiešaný nealkoholický nápoj,Ostatné,"1,58","0,5","0,5 l",2026-05-17T22:27:30.001947
LeonsteinerRadler,Ostatné,"1,10","0,5","0,5 l",2026-05-17T22:27:30.062830
ListerineÚstna voda,Ostatné,"8,78",500,500 ml,2026-05-17T22:27:30.126057
HelloOvocná desiata,Ostatné,"3,40",100,100 g,2026-05-17T22:27:30.205977
BatisteSuchý šampón,Ostatné,"16,45",200,200 ml,2026-05-17T22:27:30.278720
Switch OnFólie na vákuovanie,Ostatné,"1,66",3,3 kus,2026-05-17T22:27:30.433621
Switch OnFólie na vákuovanie,Ostatné,"2,50",2,2 kus,2026-05-17T22:27:30.509372
ParksideInvertná zváračka,Ostatné,5,1,1 balenie,2026-05-17T22:27:30.602368
ParksideVodováha s uhlomerom,Ostatné,1,,1 kus,2026-05-17T22:27:30.697244
ParksideVodováhy,Ostatné,3,,3 kus,2026-05-17T22:27:30.771386
ParksideUpínacie svorky,Ostatné,"3,00",2,2 kus,2026-05-17T22:27:30.848876
ParksideUpínacie svorky,Ostatné,"1,50",4,4 kus,2026-05-17T22:27:30.931315
RajoTvaroh jemný hrudkovitý,Mliečne výrobky,"3,96",250,250 g,2026-05-17T22:27:31.243417
LučinaMäkký nezrejúci syr,Mliečne výrobky,"12,42",120,120 g,2026-05-17T22:27:31.503318
Dr.OetkerPizza Feliciana,Ostatné,"6,12",320,360 g,2026-05-17T22:27:31.567278
ÖlzSuper mäkký sendvič,Ostatné,"2,79",750,750 g,2026-05-17T22:27:31.630378
Vizard Medovník,Ostatné,"8,88",900,900 g,2026-05-17T22:27:31.684462
MányaJazmínová ryža,Trvanlivé / Snacks,1,,1 kg,2026-05-17T22:27:31.747028
HaméNátierka,Ostatné,"6,19",160,160 g,2026-05-17T22:27:31.803010
BORGESOlivový olej,Trvanlivé / Snacks,"9,78",500,500 ml,2026-05-17T22:27:31.863098
JojoCukríky,Ostatné,"9,88",70,80 g,2026-05-17T22:27:31.925864
NescaféInstantná káva,Ostatné,"29,95",200,200 g,2026-05-17T22:27:31.988098
Opavia BrumíkJemné pečivo,Pečivo,"9,93",150,150 g,2026-05-17T22:27:32.102337
GreisingerMini slaninové párky,Ostatné,"9,56",250,250 g,2026-05-17T22:27:32.200923
BergerŠunka morčacia(=,Mäso,"17,90",1,1 kg,2026-05-17T22:27:32.264386
"Bravčová krkovičkabez kosti, v celku",Mäso,20,1,1 kg,2026-05-17T22:27:32.321663
K-ClassicArašidy v cestíčku,Ostatné,"4,45",200,200 g,2026-05-17T22:27:32.380659
KvaskoPšeničný chlieb,Pečivo,"3,35",505,505 g,2026-05-17T22:27:32.446094
Púchovský uherák,Ostatné,"12,50",100,100 g,2026-05-17T22:27:32.513291
K-ClassicTrstinový cukor,Ostatné,"1,78",500,500 g,2026-05-17T22:27:32.592077
AustriaMozartove gule,Ostatné,"16,25",264,264 g,2026-05-17T22:27:32.654872
SchweppesLimonáda,Ostatné,"0,93","1,5","1,5 l",2026-05-17T22:27:32.712746
MariannaŠošovica,Ostatné,"2,60",250,250 g,2026-05-17T22:27:32.769346
PerníkářPerník,Ostatné,"4,17",60,60 g,2026-05-17T22:27:32.827407
Stará MamaPirohy zemiakovo-bryndzové,Ostatné,"2,70",2,2 kg,2026-05-17T22:27:32.886287
MilkTrvanlivé mlieko,Mliečne výrobky,"3,5",1,1 l,2026-05-17T22:27:32.967394
"Čerstvé ovocie a zelenina, Kvety",Ostatné,"1,29",14.05,1 kus,2026-05-17T22:27:33.015815
"Čerstvé ovocie a zelenina, Kvety",Ostatné,20.05,14.05,,2026-05-17T22:27:33.019564
Dipladénia,Ostatné,"1,29",14,1 kus,2026-05-17T22:27:33.033583
Dipladénia,Ostatné,1,14,1 kus,2026-05-17T22:27:33.036903
(Dipladenia) priemer kvetináča:,Ostatné,14,,,2026-05-17T22:27:33.060954
Frézie v kvetináči,Ostatné,1,13,1 kus,2026-05-17T22:27:33.087027
(Freesia) priemer kvetináča:,Ostatné,13,,,2026-05-17T22:27:33.110620
Konifery mix,Ostatné,1,,1 kus,2026-05-17T22:27:33.133763
Klinček záhradný,Ostatné,1,9,1 kus,2026-05-17T22:27:33.178500
(Dianthus caryophyllus) priemer kvetináča:,Ostatné,9,,,2026-05-17T22:27:33.200091
Javor dlaňovitolistý,Ostatné,1,"10,5",1 kus,2026-05-17T22:27:33.241141
(Acer palmatum) priemer kvetináča:,Ostatné,"10,5",,,2026-05-17T22:27:33.283035
Bugénvilea,Ostatné,1,14,1 kus,2026-05-17T22:27:33.317125
(Bougainvillea Purple) priemer kvetináča:,Ostatné,14,,,2026-05-17T22:27:33.345345
Levanduľa úzkolistá,Ostatné,"1,00",6,6 kus,2026-05-17T22:27:33.371052
(Lavandula angustifolia),Ostatné,6,,6 kus,2026-05-17T22:27:33.398016
Jablko červené,Ovocie a Zelenina,1,,1 kg,2026-05-17T22:27:33.480908
Paprika farebná,Ovocie a Zelenina,"3,18",500,500 g,2026-05-17T22:27:33.581638
Marhule slovenské,Ostatné,"3,98",500,500 g,2026-05-17T22:27:33.633962
Čerstvé zo SlovenskaParadajky cherry strapcové,Ovocie a Zelenina,"5,56",250,250 g,2026-05-17T22:27:33.680741
Šalát ľadový,Ovocie a Zelenina,1,,1 kus,2026-05-17T22:27:33.907405
Kapusta biela,Ostatné,1,,1 kg,2026-05-17T22:27:34.083276
Dyňa červená mini,Ostatné,1,,1 kus,2026-05-17T22:27:34.198606
Čučoriedky,Ovocie a Zelenina,"9,52",125,125 g,2026-05-17T22:27:34.443588
"Mäso, hydina, údeniny",Mäso,"5,89",14.05,100 g,2026-05-17T22:27:34.853222
"Mäso, hydina, údeniny",Mäso,20.05,14.05,,2026-05-17T22:27:34.856425
Chilli šunka,Mäso,"5,89",100,100 g,2026-05-17T22:27:34.867408
Chilli šunka,Mäso,"8,90",100,100 g,2026-05-17T22:27:34.870787
Anglická slanina,Ostatné,"6,90",100,100 g,2026-05-17T22:27:34.937522
Bravčová slanina,Mäso,1,,1 kg,2026-05-17T22:27:34.983339
Bravčová hruď,Mäso,1,,1 kg,2026-05-17T22:27:35.031887
K-Favourites,Ostatné,1,,1 kg,2026-05-17T22:27:35.200043
Bravčové rebierka z bôčika,Mäso,1,,1 kg,2026-05-17T22:27:35.327075
Údený mäsitý špic,Ostatné,"4,90",100,100 g,2026-05-17T22:27:35.375553
Bravčová krkovičkamarináde,Mäso,1,1,1 kg,2026-05-17T22:27:35.428963
Bravčové rebierkav BBQ marináde,Mäso,"9,32",750,750 g,2026-05-17T22:27:35.476478
Gril mix klobáskapapriková  a biely bavor,Mäso,"6,98",500,500 g,2026-05-17T22:27:35.522277
Dedova šunková lahôdka,Ostatné,"7,50",100,100 g,2026-05-17T22:27:35.569514
HSHKráľovské kuracie stehnácena za,Mäso,1,,1 kg,2026-05-17T22:27:35.616222
HSHKuracie stehná hornécena za,Mäso,1,,1 kg,2026-05-17T22:27:35.665579
HSHKráľovská polievková zmescena za,Ostatné,1,,1 kg,2026-05-17T22:27:35.713740
