page,name,unit,discount_percent,prices,current_price,original_price,raw_line,validity,category
1,OD ŠTVRTKA,,,"['14.', '5.', '2026', '20.', '5.', '2026', '20']",20,14.,OD  ŠTVRTKA  14. 5. 2026 DO STREDY 20. 5. 2026  č. 20,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,((((====,,,"['1111', '7777,', '55550000', '9999,', '55550000']",55550000,1111,"((((====1111 kkkkgggg KKKKCCCC:::: 7777,,,,55550000 //// BBBBCCCC:::: 9999,,,,55550000)))) ****",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,Čučoriedky,,,"['1,19']","1,19",,"Čučoriedky 1,19",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,NAD,,,"['20', '1']",1,20,NAD 20 EUR 1,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,zo Slovenska,,,"['2,99', '0,15']","0,15","2,99","zo Slovenska             2,99                               obal 0,15",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,pultový predaj,,,"['3,29']","3,29",,"pultový predaj     3,29",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,SME PRE VÁS AŽ,,,['5'],5,,SME    PRE     VÁS    AŽ            5,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,* Porovnanie cien výrobkov je k,,,"['30.', '4.', '2025', '30.', '4.', '2026', '1', '20', '1020', '11']",11,30.,* Porovnanie cien výrobkov je k 30. 4. 2025 a 30. 4. 2026 S1-SK-KW20-LFT-TITULKA-1020-11,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,,,,,"3,29","4,99","4,99 -34%
3,29",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
2,* Porovnanie cien výrobkov je k,,,"['30.', '4.', '2025']",2025,30.,* Porovnanie cien výrobkov je k 30. 4. 2025,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
3,OD ŠTVRTKA,,,"['14.', '5.']",5.,14.,OD  ŠTVRTKA    14. 5.,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
4,N -,,-30%,"['30', '39']",39,30,N                                         -30%                 -39%,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
4,ÁÁÁÁ (=,1 kg,,"['1', '3,18', '1', '3,98']","3,98",1,"ÁÁÁÁ  (=1 kg 3,18)         (=1 kg 3,98)",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,"žlté,",,-35%,"['00,', '9999', '35']",35,"00,","žlté,    00,,9999                                                  -35%",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,"varný typ A,",,,"['2,29']","2,29",,"varný typ A,                       2,29",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,varný typ B,1 kg,,['1'],1,,varný typ B                1 kg                       Špenát baby,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
